Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Shane McClanahan","TBR",166.1,102.89409350057014,,,,120.07444444444441,122.88127586206899,104.00899199999999,,,110.53639250814332,103.81616449511397,114.13517915309448,"Shane McClanahan",21483,663556
"Justin Verlander","HOU",175,107.76695057034222,,,,130.04739837398378,118.00716904276986,97.71841269841269,,,115.71711300309596,101.94423374613002,113.92897832817339,"Justin Verlander",8700,434378
"Rafael Montero","HOU",68.1,99.89378757515028,116.24208835341369,,,113.51293233082708,,88.40235849056603,,,103.07485766758492,110.60580348943988,113.89397612488526,"Rafael Montero",12760,606160
"Devin Williams","MIL",60.2,107.88466501240696,,94.6775,,103.84162162162161,,125.61277419354839,,,117.93726591760307,95.28788389513107,113.81340823970032,"Devin Williams",15816,642207
"Clay Holmes","NYY",63.2,81.22,110.74580891719744,,,129.76484276729562,,,,,115.15557157569519,97.42549948506694,113.80875386199801,"Clay Holmes",13649,605280
"John Means","BAL",8,102.25894736842106,,,,108.97058823529412,,110.08904761904762,119.7484210526316,,108.00162962962962,106.6337777777778,113.77674074074075,"John Means",16269,607644
"Sandy Alcantara","MIA",228.2,98.75752753977967,115.3006905055487,,,115.63711484593838,115.51272727272726,114.18082681564245,,,110.90044113078598,103.73174899036962,113.72701460080772,"Sandy Alcantara",18684,645261
"Daniel Hudson","LAD",24.1,107.90122641509433,99.124,,,110.21329411764707,,96.63714285714285,,,108.36308457711446,102.69383084577115,113.71283582089555,"Daniel Hudson",7146,543339
"Jeffrey Springs","TBR",135.1,107.41569124423964,123.85333333333334,,,98.95812382739211,,111.47570469798657,,,106.70959797922181,106.83515378912585,113.70663690997398,"Jeffrey Springs",17677,605488
"Kevin Gausman","TOR",174.2,98.63209131075111,,,116.49741152679472,102.2669,,108.06222222222222,,,105.63807636887606,108.96477665706048,113.70129682997118,"Kevin Gausman",14107,592332
"Joe Jiménez","DET",56.2,119.66341708542713,,,,112.09854671280276,,83.14156862745097,,,115.31982851018222,101.93110396570206,113.68066452304397,"Joe Jimenez",15761,641729
"Ethan Roberts","CHC",7.2,,,99.69683333333333,,106.41422222222226,96.62181818181817,,,,101.10915662650599,110.28012048192774,113.67144578313254,"Ethan Roberts",24930,681799
"Joel Kuhnel","CIN",58,92.68999999999998,100.29873605947955,,,113.85553903345722,,87.62414285714286,,,103.0888324873096,112.11541116751275,113.29141116751269,"Joel Kuhnel",19995,669270
"Spencer Strider","ATL",131.2,114.23645901639341,,,,117.21486780715396,,93.40477064220184,,,114.08372216977568,99.80328921183214,113.26113940031532,"Spencer Strider",27498,675911
"Luis Castillo","- - -",150.1,125.70009696969696,108.10961344537816,,,120.12564393939395,,104.99480286738353,,,115.75143808144384,97.26415801924098,112.99211375482,"Luis Castillo",15689,622491
"Luis García","SDP",61,99.148,108.60669275929553,,104.63055999999996,126.0270063694268,,,,,113.59132429614183,100.63724713242961,112.90642335766431,"Luis Garcia",6984,472610
